Date: 2024-01-24 17:46:46.362059, Interval: 1.608, Type:Normal
Date: 2024-01-24 19:30:30.555992, Interval: 12.282, Type: Eyes not on road
Date: 2024-01-24 19:30:31.751782, Interval: 1.184, Type:Normal
Date: 2024-01-24 19:30:35.243730, Interval: 3.429, Type:Normal
Date: 2024-01-24 19:32:54.137973, Interval: 5.98, Type: Eyes not on road
Date: 2024-01-24 19:32:55.151285, Interval: 1.001, Type:Normal
Date: 2024-01-24 19:34:07.423417, Interval: 8.149, Type: Eyes not on road
Date: 2024-01-24 19:34:11.579128, Interval: 3.841, Type:Normal
Date: 2024-01-24 19:35:19.023758, Interval: 3.716, Type: Eyes not on road
Date: 2024-01-24 19:35:23.808509, Interval: 4.772, Type:Normal
Date: 2024-01-24 19:35:29.664244, Interval: 4.03, Type:Normal
Date: 2024-01-24 19:35:32.246081, Interval: 1.89, Type:Yawning
Date: 2024-01-24 19:35:43.955099, Interval: 11.708, Type:Normal
Date: 2024-01-24 19:35:51.258264, Interval: 1.635, Type:Normal
Date: 2024-01-24 19:35:52.958631, Interval: 1.071, Type:Normal
Date: 2024-01-24 19:36:01.199838, Interval: 8.123, Type: Eyes not on road
Date: 2024-01-24 19:36:04.542208, Interval: 3.254, Type:Normal
Date: 2024-01-24 19:36:05.616502, Interval: 1.075, Type:Yawning
Date: 2024-01-24 19:36:10.103172, Interval: 1.402, Type:Normal
Date: 2024-01-24 19:37:18.432733, Interval: 8.121, Type:Normal
Date: 2024-01-24 19:37:19.795635, Interval: 1.018, Type:Normal
Date: 2024-01-24 19:37:28.857737, Interval: 8.706, Type:Normal
Date: 2024-01-24 19:37:30.620290, Interval: 1.763, Type:Yawning
Date: 2024-01-24 19:37:43.397248, Interval: 9.648, Type:Normal
Date: 2024-01-24 19:37:44.458760, Interval: 1.062, Type:Yawning
Date: 2024-01-24 19:37:46.554194, Interval: 1.033, Type:Normal
Date: 2024-01-24 19:37:48.975231, Interval: 1.035, Type:Yawning
Date: 2024-01-24 19:37:53.151558, Interval: 1.75, Type:Yawning
Date: 2024-01-24 19:37:55.892097, Interval: 1.712, Type:Normal
Date: 2024-01-24 19:37:59.389331, Interval: 3.498, Type:Drowsy
Date: 2024-01-24 19:38:02.872893, Interval: 5.936, Type:Yawning
Date: 2024-01-24 19:38:15.634629, Interval: 12.761, Type:Normal
Date: 2024-01-24 19:38:19.416396, Interval: 2.749, Type:Yawning
Date: 2024-01-24 19:38:21.555579, Interval: 2.139, Type:Normal
Date: 2024-01-24 19:38:25.716128, Interval: 3.106, Type:Normal
Date: 2024-01-24 19:38:28.885857, Interval: 3.17, Type:Drowsy
Date: 2024-01-24 19:38:42.095071, Interval: 13.209, Type:Normal
Date: 2024-01-24 19:38:47.702536, Interval: 4.911, Type:Normal
Date: 2024-01-24 19:38:57.730781, Interval: 9.339, Type: Eyes not on road
Date: 2024-01-24 19:40:13.649864, Interval: 16.153, Type:Normal
Date: 2024-01-24 19:40:17.046665, Interval: 2.385, Type:Yawning
Date: 2024-01-24 19:40:23.616820, Interval: 6.57, Type:Normal
Date: 2024-01-24 19:40:38.842507, Interval: 15.031, Type:Normal
Date: 2024-01-24 19:40:43.035678, Interval: 3.996, Type:Normal
Date: 2024-01-24 19:40:44.753595, Interval: 1.136, Type:Yawning
Date: 2024-01-24 19:40:49.518005, Interval: 2.838, Type:Drowsy
Date: 2024-01-24 19:40:49.919133, Interval: 2.286, Type:Yawning
Date: 2024-01-24 19:40:57.039080, Interval: 4.498, Type:Normal
Date: 2024-01-25 22:51:02.632096, Interval: 3.186, Type:Normal
Date: 2024-01-25 22:51:09.991643, Interval: 3.399, Type: Eyes not on road
Date: 2024-01-25 22:51:14.125638, Interval: 11.283, Type:Normal
Date: 2024-01-25 22:51:27.606935, Interval: 13.103, Type:Normal
Date: 2024-01-25 22:51:31.480453, Interval: 3.12, Type: Eyes not on road
Date: 2024-01-25 22:51:32.574114, Interval: 4.773, Type:Normal
Date: 2024-01-25 22:51:36.921682, Interval: 4.157, Type: Eyes not on road
Date: 2024-01-25 22:51:38.656854, Interval: 1.722, Type:Normal
Date: 2024-01-25 22:51:45.467698, Interval: 2.443, Type:Normal
Date: 2024-01-25 22:51:50.305153, Interval: 2.598, Type:Normal
Date: 2024-01-25 22:51:57.646498, Interval: 4.047, Type:Normal
Date: 2024-01-25 22:51:59.533547, Interval: 1.303, Type:Normal
Date: 2024-01-25 22:52:03.503244, Interval: 3.775, Type:Normal
Date: 2024-01-25 22:52:09.804618, Interval: 2.081, Type:Yawning
Date: 2024-01-25 22:52:14.282781, Interval: 3.149, Type:Normal
Date: 2024-01-25 22:52:23.292403, Interval: 2.631, Type:Yawning
Date: 2024-01-25 22:52:27.036672, Interval: 3.744, Type:Normal
Date: 2024-01-25 22:52:36.232988, Interval: 3.895, Type:Normal
Date: 2024-01-25 22:52:44.187511, Interval: 4.64, Type:Normal
Date: 2024-01-25 22:52:46.034764, Interval: 1.648, Type:Normal
Date: 2024-01-25 22:52:47.947644, Interval: 1.722, Type:Normal
Date: 2024-01-25 23:04:00.450128, Interval: 34.37, Type: Eyes not on road
Date: 2024-01-25 23:04:01.582504, Interval: 1.12, Type:Normal
Date: 2024-01-25 23:04:11.617575, Interval: 9.849, Type:Normal
Date: 2024-01-25 23:04:14.603741, Interval: 2.798, Type:Normal
Date: 2024-01-25 23:04:35.815413, Interval: 19.154, Type: Eyes not on road
Date: 2024-01-25 23:04:36.574935, Interval: 20.096, Type:Normal
Date: 2024-01-25 23:04:40.344418, Interval: 3.579, Type:Normal
Date: 2024-01-25 23:04:44.750704, Interval: 4.215, Type:Normal
Date: 2024-01-25 23:04:48.533767, Interval: 2.5, Type:Normal
Date: 2024-01-25 23:04:52.304500, Interval: 3.57, Type:Normal
Date: 2024-01-25 23:04:59.836528, Interval: 6.586, Type:Normal
Date: 2024-01-25 23:05:01.693180, Interval: 1.668, Type:Normal
Date: 2024-01-25 23:05:06.319564, Interval: 4.431, Type:Normal
Date: 2024-01-25 23:07:40.257964, Interval: 35.395, Type: Eyes not on road
Date: 2024-01-25 23:07:57.601946, Interval: 17.326, Type:Normal
Date: 2024-01-25 23:07:59.088454, Interval: 1.296, Type:Normal
Date: 2024-01-25 23:17:23.390177, Interval: 40.851, Type: Eyes not on road
Date: 2024-01-25 23:17:27.704865, Interval: 3.389, Type:Normal
Date: 2024-01-25 23:17:30.320604, Interval: 2.501, Type:Normal
Date: 2024-01-25 23:17:32.903750, Interval: 2.268, Type:Normal
Date: 2024-01-25 23:17:40.624301, Interval: 7.607, Type:Normal
Date: 2024-01-25 23:17:42.806829, Interval: 1.972, Type:Normal
Date: 2024-01-25 23:17:45.615266, Interval: 1.867, Type:Normal
Date: 2024-01-25 23:17:47.277456, Interval: 1.352, Type:Normal
Date: 2024-01-25 23:17:58.709402, Interval: 11.12, Type:Normal
Date: 2024-01-25 23:21:41.849327, Interval: 20.018, Type: Eyes not on road
